dish_category,dish_name,dish_type,budget,restaurant_name
Biryani,Veg Biryani,veg,100,Hyderabad House
Sandwich,Chicken Sandwich,veg,200,Subway
Taco,Beef Taco,veg,150,Chronic Tacos
Burger,Fish Burger,non-veg,250,McDonald's
Biryani,Prawn Biryani,veg,300,Behrouz Biryani
Taco,Fish Taco,veg,300,Del Taco
Burger,Fish Burger,veg,450,Wendy's
Pizza,Classic Margherita,veg,300,Little Italy
Pasta,Lasagna,non-veg,450,Olive Garden
Dosa,Plain Dosa,non-veg,250,Saravana Bhavan
Dosa,Masala Dosa,veg,500,Dosa Hut
Salad,Chicken Salad,non-veg,450,Chopt Creative Salad Co.
Kebabs,Chicken Kebabs,non-veg,350,Al Jawahar
Dosa,Paper Dosa,non-veg,400,Madras Cafe
Pasta,Arrabiata Pasta,non-veg,150,Olive Garden
Idli,Steamed Idli,veg,250,Dakshin
Idli,Idli with Chutney,veg,250,Madras Cafe
Idli,Idli with Sambar,veg,500,Madras Cafe
Wrap,Paneer Wrap,non-veg,250,Qdoba Mexican Eats
Kebabs,Galouti Kebab,non-veg,400,Al Jawahar
Pizza,Mushroom Pizza,non-veg,500,Little Italy
Wrap,Falafel Wrap,non-veg,350,Chipotle
Biryani,Prawn Biryani,non-veg,250,Hyderabad House
Sandwich,Tuna Sandwich,non-veg,350,Subway
Pizza,Mushroom Pizza,veg,150,Pizza Hut
Taco,Shrimp Taco,non-veg,150,Del Taco
Kebabs,Hara Bhara Kebab,veg,100,The Great Kabab Factory
Pizza,Pepperoni Pizza,non-veg,200,Pizza Hut
Sandwich,Club Sandwich,veg,500,Subway
Biryani,Fish Biryani,non-veg,450,Behrouz Biryani
Taco,Shrimp Taco,veg,250,Chronic Tacos
